query_id,workflow_id,workflow_task,query,required_tools,supporting_tools,rationale,candidate_tools,candidate_toolkits,plausibility_score,expected_count,primary_hit,any_hit,primary_recall,recall,primary_rank,related_only_tools,missed_tools,extra_tools,primary_tools,related_tools,returned_toolkits,api_search_latency_sec,end_to_end_latency_sec,error,no_results_returned,raw_result_path
synthetic-001-q1,synthetic-001,"As an engineering manager transitioning our sprint tracking infrastructure, I need to verify a complex Jira expression for our new automation rules before setting up our workspaces. Simultaneously, I need to check my authenticated identity in Linear to ensure the correct bot account is authorized, and clean up our project feed by archiving an obsolete status update that is no longer relevant to the team.",Validate the syntax and complexity of a custom Jira expression intended for automation rules.,['JIRA_ANALYSE_EXPRESSION'],[],Requires the Jira expression analysis tool to check syntax and complexity.,"['JIRA_ADD_COMMENT', 'LINEAR_ARCHIVE_PROJECT_UPDATE', 'JIRA_CREATE_PROJECT', 'JIRA_ANALYSE_EXPRESSION', 'LINEAR_GET_CURRENT_USER']","['jira', 'linear']",5,1,True,True,1.0,1.0,1,,,JIRA_EVALUATE_JIRA_EXPRESSION; JIRA_GET_ISSUE; JIRA_PARSE_JQL_QUERIES; JIRA_SEARCH_FOR_ISSUES_USING_JQL_GET,JIRA_ANALYSE_EXPRESSION; JIRA_EVALUATE_JIRA_EXPRESSION; JIRA_PARSE_JQL_QUERIES,JIRA_GET_ISSUE; JIRA_SEARCH_FOR_ISSUES_USING_JQL_GET,jira,3.02,3.02,,False,C:\Users\miral\OneDrive\Documents\Evsys\src\synthetic_query_level_evaluation\raw_search_results\synthetic-001-q1.json
synthetic-001-q2,synthetic-001,"As an engineering manager transitioning our sprint tracking infrastructure, I need to verify a complex Jira expression for our new automation rules before setting up our workspaces. Simultaneously, I need to check my authenticated identity in Linear to ensure the correct bot account is authorized, and clean up our project feed by archiving an obsolete status update that is no longer relevant to the team.",Retrieve the current authenticated user details in Linear to confirm the correct service account is active.,['LINEAR_GET_CURRENT_USER'],[],Requires the Linear current user retrieval tool to identify the authenticated viewer.,"['JIRA_ADD_COMMENT', 'LINEAR_ARCHIVE_PROJECT_UPDATE', 'JIRA_CREATE_PROJECT', 'JIRA_ANALYSE_EXPRESSION', 'LINEAR_GET_CURRENT_USER']","['jira', 'linear']",5,1,True,True,1.0,1.0,1,,,LINEAR_LIST_LINEAR_USERS; LINEAR_RUN_QUERY_OR_MUTATION,LINEAR_GET_CURRENT_USER,LINEAR_RUN_QUERY_OR_MUTATION; LINEAR_LIST_LINEAR_USERS,linear,2.32,2.32,,False,C:\Users\miral\OneDrive\Documents\Evsys\src\synthetic_query_level_evaluation\raw_search_results\synthetic-001-q2.json
synthetic-001-q3,synthetic-001,"As an engineering manager transitioning our sprint tracking infrastructure, I need to verify a complex Jira expression for our new automation rules before setting up our workspaces. Simultaneously, I need to check my authenticated identity in Linear to ensure the correct bot account is authorized, and clean up our project feed by archiving an obsolete status update that is no longer relevant to the team.",Archive an obsolete project update in Linear to clean up the workspace status feed.,['LINEAR_ARCHIVE_PROJECT_UPDATE'],[],Requires the Linear project update archiving tool to clean up old status updates.,"['JIRA_ADD_COMMENT', 'LINEAR_ARCHIVE_PROJECT_UPDATE', 'JIRA_CREATE_PROJECT', 'JIRA_ANALYSE_EXPRESSION', 'LINEAR_GET_CURRENT_USER']","['jira', 'linear']",5,1,False,False,0.0,0.0,,,LINEAR_ARCHIVE_PROJECT_UPDATE,LINEAR_GET_LINEAR_PROJECT; LINEAR_LIST_LINEAR_PROJECTS; LINEAR_RUN_QUERY_OR_MUTATION; LINEAR_UPDATE_LINEAR_PROJECT,LINEAR_UPDATE_LINEAR_PROJECT,LINEAR_GET_LINEAR_PROJECT; LINEAR_LIST_LINEAR_PROJECTS; LINEAR_RUN_QUERY_OR_MUTATION,linear,2.18,2.18,,False,C:\Users\miral\OneDrive\Documents\Evsys\src\synthetic_query_level_evaluation\raw_search_results\synthetic-001-q3.json
synthetic-002-q1,synthetic-002,"As the IT administrator for our growing enterprise, I need to set up a dedicated workspace for the new APAC expansion team in Slack. First, look up our enterprise directory contacts to verify the regional lead's account details. Then, create the new Enterprise team workspace and immediately provision a public coordination channel for them to begin onboarding.",Find the contact details and email for the APAC regional lead in our enterprise directory to prepare for workspace provisioning.,['GMAIL_GET_CONTACTS'],[],Retrieves the necessary contact information from the corporate address book to verify the user before adding them to a new workspace.,"['SLACK_CREATE_ENTERPRISE_TEAM', 'GMAIL_CREATE_PROMPT_POST', 'SLACK_ADD_REACTION_TO_AN_ITEM', 'SLACK_ADD_ENTERPRISE_USER_TO_WORKSPACE', 'SLACK_CREATE_CHANNEL', 'GMAIL_GET_CONTACTS', 'SLACK_CLOSE_DM']","['gmail', 'slack']",5,1,False,False,0.0,0.0,,,GMAIL_GET_CONTACTS,SLACK_FIND_USERS; SLACK_FIND_USER_BY_EMAIL_ADDRESS; SLACK_OPEN_DM; SLACK_RETRIEVE_DETAILED_USER_INFORMATION,SLACK_FIND_USER_BY_EMAIL_ADDRESS,SLACK_RETRIEVE_DETAILED_USER_INFORMATION; SLACK_FIND_USERS; SLACK_OPEN_DM,slack,2.29,2.29,,False,C:\Users\miral\OneDrive\Documents\Evsys\src\synthetic_query_level_evaluation\raw_search_results\synthetic-002-q1.json
synthetic-002-q2,synthetic-002,"As the IT administrator for our growing enterprise, I need to set up a dedicated workspace for the new APAC expansion team in Slack. First, look up our enterprise directory contacts to verify the regional lead's account details. Then, create the new Enterprise team workspace and immediately provision a public coordination channel for them to begin onboarding.",Create a new Enterprise team workspace within our Slack organization for the APAC expansion team.,['SLACK_CREATE_ENTERPRISE_TEAM'],[],Uses the enterprise team creation tool to set up the dedicated workspace under the grid organization.,"['SLACK_CREATE_ENTERPRISE_TEAM', 'GMAIL_CREATE_PROMPT_POST', 'SLACK_ADD_REACTION_TO_AN_ITEM', 'SLACK_ADD_ENTERPRISE_USER_TO_WORKSPACE', 'SLACK_CREATE_CHANNEL', 'GMAIL_GET_CONTACTS', 'SLACK_CLOSE_DM']","['gmail', 'slack']",5,1,True,True,1.0,1.0,1,,,SLACK_FETCH_TEAM_INFO; SLACK_LIST_AVAILABLE_WORKSPACES; SLACK_LIST_ENTERPRISE_TEAMS; SLACK_SET_WORKSPACE_NAME; SLACK_TEST_AUTH,SLACK_CREATE_ENTERPRISE_TEAM; SLACK_SET_WORKSPACE_NAME,SLACK_LIST_ENTERPRISE_TEAMS; SLACK_TEST_AUTH; SLACK_LIST_AVAILABLE_WORKSPACES; SLACK_FETCH_TEAM_INFO,slack,3.47,3.47,,False,C:\Users\miral\OneDrive\Documents\Evsys\src\synthetic_query_level_evaluation\raw_search_results\synthetic-002-q2.json
synthetic-002-q3,synthetic-002,"As the IT administrator for our growing enterprise, I need to set up a dedicated workspace for the new APAC expansion team in Slack. First, look up our enterprise directory contacts to verify the regional lead's account details. Then, create the new Enterprise team workspace and immediately provision a public coordination channel for them to begin onboarding.",Create a public coordination channel named #apac-onboarding in the newly created Slack workspace.,['SLACK_CREATE_CHANNEL'],[],Sets up the initial communication channel within the new workspace for the team's onboarding activities.,"['SLACK_CREATE_ENTERPRISE_TEAM', 'GMAIL_CREATE_PROMPT_POST', 'SLACK_ADD_REACTION_TO_AN_ITEM', 'SLACK_ADD_ENTERPRISE_USER_TO_WORKSPACE', 'SLACK_CREATE_CHANNEL', 'GMAIL_GET_CONTACTS', 'SLACK_CLOSE_DM']","['gmail', 'slack']",5,1,True,True,1.0,1.0,1,,,SLACK_FIND_CHANNELS; SLACK_INVITE_USERS_TO_A_SLACK_CHANNEL; SLACK_LIST_ALL_CHANNELS; SLACK_SEND_MESSAGE; SLACK_SET_THE_TOPIC_OF_A_CONVERSATION; SLACK_TEST_AUTH,SLACK_CREATE_CHANNEL,SLACK_TEST_AUTH; SLACK_FIND_CHANNELS; SLACK_LIST_ALL_CHANNELS; SLACK_SET_THE_TOPIC_OF_A_CONVERSATION; SLACK_INVITE_USERS_TO_A_SLACK_CHANNEL; SLACK_SEND_MESSAGE,slack,2.2,2.2,,False,C:\Users\miral\OneDrive\Documents\Evsys\src\synthetic_query_level_evaluation\raw_search_results\synthetic-002-q3.json
synthetic-003-q1,synthetic-003,"As our sales operations lead, I need to clean up obsolete custom tracking properties in our HubSpot CRM and ensure we retain a record of the migration details by drafting an email to the revenue team with the confirmation details. Please check which properties need archiving, process the removal of the outdated custom property by name, and prepare a draft email outlining the changes made for review before we send it out.",Archive the obsolete custom property 'legacy_tier_score' under the contact object type in HubSpot CRM,['HUBSPOT_ARCHIVE_PROPERTY_BY_OBJECT_TYPE_AND_NAME'],[],Directly targets the HubSpot CRM property archiving tool to remove the specified custom property by its object type and name.,"['GMAIL_FORWARD_MESSAGE', 'HUBSPOT_ARCHIVE_PROPERTY_BY_OBJECT_TYPE_AND_NAME', 'SALESFORCE_CREATE_CUSTOM_OBJECT', 'GMAIL_DELETE_LABEL', 'GMAIL_CREATE_EMAIL_DRAFT', 'GMAIL_GET_AUTO_FORWARDING']","['gmail', 'hubspot', 'salesforce']",5,1,True,True,1.0,1.0,2,,,HUBSPOT_ARCHIVE_BATCH_OF_PROPERTIES; HUBSPOT_READ_ALL_PROPERTIES_FOR_OBJECT_TYPE; HUBSPOT_READ_A_CRM_PROPERTY_BY_NAME; HUBSPOT_UPDATE_CRM_PROPERTY,HUBSPOT_UPDATE_CRM_PROPERTY; HUBSPOT_ARCHIVE_PROPERTY_BY_OBJECT_TYPE_AND_NAME,HUBSPOT_READ_A_CRM_PROPERTY_BY_NAME; HUBSPOT_READ_ALL_PROPERTIES_FOR_OBJECT_TYPE; HUBSPOT_ARCHIVE_BATCH_OF_PROPERTIES,hubspot,2.12,2.12,,False,C:\Users\miral\OneDrive\Documents\Evsys\src\synthetic_query_level_evaluation\raw_search_results\synthetic-003-q1.json
synthetic-003-q2,synthetic-003,"As our sales operations lead, I need to clean up obsolete custom tracking properties in our HubSpot CRM and ensure we retain a record of the migration details by drafting an email to the revenue team with the confirmation details. Please check which properties need archiving, process the removal of the outdated custom property by name, and prepare a draft email outlining the changes made for review before we send it out.",Create a Gmail email draft addressed to 'revenue-ops@company.com' with the subject 'CRM Cleanup: Legacy Tier Score Archived' and a body summarizing the property removal.,['GMAIL_CREATE_EMAIL_DRAFT'],[],Uses the Gmail draft creation tool to prepare the confirmation email for the revenue team as requested in the workflow.,"['GMAIL_FORWARD_MESSAGE', 'HUBSPOT_ARCHIVE_PROPERTY_BY_OBJECT_TYPE_AND_NAME', 'SALESFORCE_CREATE_CUSTOM_OBJECT', 'GMAIL_DELETE_LABEL', 'GMAIL_CREATE_EMAIL_DRAFT', 'GMAIL_GET_AUTO_FORWARDING']","['gmail', 'hubspot', 'salesforce']",5,1,True,True,1.0,1.0,1,,,GMAIL_GET_DRAFT; GMAIL_LIST_DRAFTS; GMAIL_LIST_SEND_AS; GMAIL_SEARCH_PEOPLE; GMAIL_SEND_DRAFT; GMAIL_UPDATE_DRAFT,GMAIL_CREATE_EMAIL_DRAFT,GMAIL_GET_DRAFT; GMAIL_LIST_DRAFTS; GMAIL_SEND_DRAFT; GMAIL_LIST_SEND_AS; GMAIL_UPDATE_DRAFT; GMAIL_SEARCH_PEOPLE,gmail,2.55,2.55,,False,C:\Users\miral\OneDrive\Documents\Evsys\src\synthetic_query_level_evaluation\raw_search_results\synthetic-003-q2.json
synthetic-004-q1,synthetic-004,"We are restructuring our product roadmap boards and need to set up a new tracking column on Trello for incoming security reviews. Once that list is established, check our ongoing ClickUp chat communications regarding the Q3 compliance audit and post a summary update to the team chat channel to keep everyone aligned on the new workflow.",create a new list on the Trello product roadmap board for security reviews,['TRELLO_ADD_LISTS'],[],Creates the new list on the specified Trello board.,"['CLICKUP_CREATE_CHAT_MESSAGE', 'TRELLO_CONVERT_CHECKLIST_ITEM_TO_CARD', 'CLICKUP_ADD_TASK_TO_LIST', 'CLICKUP_ATTACHMENTS_UPLOAD_FILE_TO_TASK_AS_ATTACHMENT', 'CLICKUP_CREATE_CHAT_REACTION', 'TRELLO_ADD_LISTS']","['clickup', 'trello']",5,1,True,True,1.0,1.0,1,,,TRELLO_GET_BOARDS_BY_ID_BOARD; TRELLO_GET_BOARDS_LISTS_BY_ID_BOARD; TRELLO_UPDATE_LISTS_CLOSED_BY_ID_LIST; TRELLO_UPDATE_LISTS_NAME_BY_ID_LIST; TRELLO_UPDATE_LISTS_POS_BY_ID_LIST,TRELLO_ADD_LISTS,TRELLO_GET_BOARDS_LISTS_BY_ID_BOARD; TRELLO_UPDATE_LISTS_NAME_BY_ID_LIST; TRELLO_UPDATE_LISTS_POS_BY_ID_LIST; TRELLO_UPDATE_LISTS_CLOSED_BY_ID_LIST; TRELLO_GET_BOARDS_BY_ID_BOARD,trello,2.84,2.84,,False,C:\Users\miral\OneDrive\Documents\Evsys\src\synthetic_query_level_evaluation\raw_search_results\synthetic-004-q1.json
synthetic-004-q2,synthetic-004,"We are restructuring our product roadmap boards and need to set up a new tracking column on Trello for incoming security reviews. Once that list is established, check our ongoing ClickUp chat communications regarding the Q3 compliance audit and post a summary update to the team chat channel to keep everyone aligned on the new workflow.",send a message to the ClickUp team chat channel about the compliance audit update,['CLICKUP_CREATE_CHAT_MESSAGE'],[],Posts the status update message to the ClickUp chat channel.,"['CLICKUP_CREATE_CHAT_MESSAGE', 'TRELLO_CONVERT_CHECKLIST_ITEM_TO_CARD', 'CLICKUP_ADD_TASK_TO_LIST', 'CLICKUP_ATTACHMENTS_UPLOAD_FILE_TO_TASK_AS_ATTACHMENT', 'CLICKUP_CREATE_CHAT_REACTION', 'TRELLO_ADD_LISTS']","['clickup', 'trello']",5,1,True,True,1.0,1.0,1,,,CLICKUP_DELETE_CHAT_MESSAGE; CLICKUP_GET_AUTHORIZED_TEAMS_WORKSPACES; CLICKUP_GET_CHAT_CHANNEL; CLICKUP_GET_CHAT_CHANNELS; CLICKUP_GET_CHAT_MESSAGES; CLICKUP_UPDATE_CHAT_MESSAGE,CLICKUP_CREATE_CHAT_MESSAGE,CLICKUP_GET_CHAT_CHANNELS; CLICKUP_GET_CHAT_CHANNEL; CLICKUP_GET_CHAT_MESSAGES; CLICKUP_UPDATE_CHAT_MESSAGE; CLICKUP_DELETE_CHAT_MESSAGE; CLICKUP_GET_AUTHORIZED_TEAMS_WORKSPACES,clickup,2.05,2.05,,False,C:\Users\miral\OneDrive\Documents\Evsys\src\synthetic_query_level_evaluation\raw_search_results\synthetic-004-q2.json
