case_id,task,candidate_toolkits,expected_tools,expected_count,plausibility_score,recall_all,recall_primary,precision_all,missed_count,missed_tools,related_only_tools,extra_count,extra_tools,primary_tools,related_tools,returned_toolkits,cross_toolkit_extra_prefixes,api_search_latency_sec,end_to_end_latency_sec,error,no_results_returned,raw_result_path
synthetic-001,"Please create a new Google Doc summarizing our latest quarterly metrics using the raw text report I've provided. Once the document is generated, immediately share it with our department lead's email address so they can review the permissions and access the draft.",googledrive; googlesheets,GOOGLEDRIVE_CREATE_FILE_FROM_TEXT; GOOGLEDRIVE_CREATE_PERMISSION,2,5,0.0,0.0,0.0,2,GOOGLEDRIVE_CREATE_FILE_FROM_TEXT; GOOGLEDRIVE_CREATE_PERMISSION,,7,GEMINI_GENERATE_IMAGE; GOOGLEDOCS_CREATE_DOCUMENT; GOOGLEDOCS_CREATE_DOCUMENT_MARKDOWN; GOOGLEDOCS_INSERT_INLINE_IMAGE; GOOGLEDOCS_INSERT_TABLE_ACTION; GOOGLEDOCS_UPDATE_DOCUMENT_MARKDOWN; GOOGLEDOCS_UPDATE_DOCUMENT_SECTION_MARKDOWN,GOOGLEDOCS_CREATE_DOCUMENT_MARKDOWN,GOOGLEDOCS_CREATE_DOCUMENT; GOOGLEDOCS_UPDATE_DOCUMENT_SECTION_MARKDOWN; GOOGLEDOCS_UPDATE_DOCUMENT_MARKDOWN; GOOGLEDOCS_INSERT_TABLE_ACTION; GEMINI_GENERATE_IMAGE; GOOGLEDOCS_INSERT_INLINE_IMAGE,gemini; googledocs,GEMINI; GOOGLEDOCS,2.64,2.64,,False,synthetic_multi_tool_evaluation\raw_search_results\synthetic-001.json
synthetic-002,"We need to set up our new self-hosted CI runner by assigning specific custom operational labels to it in GitHub. Once that is done, please post a confirmation update directly into our #devops-deployments Slack channel so the team knows the runner is fully configured and ready for production builds.",github; linear; slack,GITHUB_ADD_RUNNER_LABELS; SLACK_CHAT_POST_MESSAGE,2,5,0.0,0.0,0.0,2,GITHUB_ADD_RUNNER_LABELS; SLACK_CHAT_POST_MESSAGE,,8,GITHUB_CREATE_A_DEPLOYMENT; GITHUB_GET_A_REFERENCE; GITHUB_GET_STATUS_CHECKS_PROTECTION; GITHUB_SET_STATUS_CHECK_CONTEXTS; GITHUB_UPDATE_STATUS_CHECK_PROTECTION; MICROSOFT_TEAMS_TEAMS_LIST; MICROSOFT_TEAMS_TEAMS_LIST_CHANNELS; MICROSOFT_TEAMS_TEAMS_POST_CHANNEL_MESSAGE,GITHUB_SET_STATUS_CHECK_CONTEXTS; MICROSOFT_TEAMS_TEAMS_POST_CHANNEL_MESSAGE; GITHUB_CREATE_A_DEPLOYMENT,MICROSOFT_TEAMS_TEAMS_LIST_CHANNELS; MICROSOFT_TEAMS_TEAMS_LIST; GITHUB_GET_STATUS_CHECKS_PROTECTION; GITHUB_UPDATE_STATUS_CHECK_PROTECTION; GITHUB_GET_A_REFERENCE,github; microsoft_teams,MICROSOFT,3.08,3.08,,False,synthetic_multi_tool_evaluation\raw_search_results\synthetic-002.json
synthetic-003,"Please create a new standard header with the title 'Q3 Financial Review' in our shared Google Document (ID: doc_12345). Afterward, please export that updated Google Docs document as a PDF file so we can prepare it for distribution to the leadership team.",googledocs; googledrive; slack,GOOGLEDOCS_CREATE_HEADER; GOOGLEDOCS_EXPORT_DOCUMENT_AS_PDF,2,5,1.0,1.0,0.25,0,,,6,GMAIL_FETCH_EMAILS; GMAIL_SEARCH_PEOPLE; GOOGLEDOCS_CREATE_DOCUMENT; GOOGLEDOCS_GET_DOCUMENT_BY_ID; GOOGLESUPER_EXPORT_DOCUMENT_AS_PDF; GOOGLESUPER_FIND_FILE,GOOGLEDOCS_EXPORT_DOCUMENT_AS_PDF; GOOGLEDOCS_CREATE_HEADER; GOOGLESUPER_EXPORT_DOCUMENT_AS_PDF,GOOGLEDOCS_GET_DOCUMENT_BY_ID; GOOGLEDOCS_CREATE_DOCUMENT; GOOGLESUPER_FIND_FILE; GMAIL_FETCH_EMAILS; GMAIL_SEARCH_PEOPLE,gmail; googledocs; googlesuper,GMAIL; GOOGLESUPER,3.62,3.62,,False,synthetic_multi_tool_evaluation\raw_search_results\synthetic-003.json
synthetic-004,"Hey team, we are archiving an old project channel on Slack today. Could you please search Slack for all recent files and messages related to the 'Project-X-Migration' channel to make sure we didn't miss any critical documentation, and then permanently clean out and delete those old project notification emails from my Gmail inbox to free up space?",gmail; slack,GMAIL_BATCH_DELETE_MESSAGES; SLACK_ASSISTANT_SEARCH_CONTEXT,2,5,0.0,0.0,0.0,2,GMAIL_BATCH_DELETE_MESSAGES; SLACK_ASSISTANT_SEARCH_CONTEXT,,6,GMAIL_DELETE_FILTER; GMAIL_GET_FILTER; GMAIL_LIST_FILTERS; SLACK_RETRIEVE_MESSAGE_PERMALINK_URL; SLACK_SEARCH_ALL; SLACK_SEARCH_MESSAGES,SLACK_SEARCH_MESSAGES; GMAIL_DELETE_FILTER,GMAIL_LIST_FILTERS; GMAIL_GET_FILTER; SLACK_RETRIEVE_MESSAGE_PERMALINK_URL; SLACK_SEARCH_ALL,gmail; slack,,2.72,2.72,,False,synthetic_multi_tool_evaluation\raw_search_results\synthetic-004.json
synthetic-005,"Our engineering team is migrating to a new project structure and needs to set up a dedicated communication and tracking space. Please create a new private Slack channel named 'project-phoenix' for our team coordination, and simultaneously set up a new Trello board called 'Phoenix Launch' to organize our upcoming tasks and backlog items.",slack; trello,SLACK_CREATE_CHANNEL_BASED_CONVERSATION; TRELLO_ADD_BOARDS,2,5,1.0,1.0,0.2222,0,,,7,SLACK_CREATE_CHANNEL; SLACK_FIND_CHANNELS; SLACK_INVITE_USERS_TO_A_SLACK_CHANNEL; SLACK_LIST_AVAILABLE_WORKSPACES; SLACK_SEND_MESSAGE; SLACK_SET_CONVERSATION_PURPOSE; TRELLO_UPDATE_BOARDS_BY_ID_BOARD,SLACK_CREATE_CHANNEL_BASED_CONVERSATION; SLACK_CREATE_CHANNEL; TRELLO_ADD_BOARDS,SLACK_SEND_MESSAGE; SLACK_LIST_AVAILABLE_WORKSPACES; SLACK_SET_CONVERSATION_PURPOSE; SLACK_FIND_CHANNELS; SLACK_INVITE_USERS_TO_A_SLACK_CHANNEL; TRELLO_UPDATE_BOARDS_BY_ID_BOARD,slack; trello,,2.63,2.63,,False,synthetic_multi_tool_evaluation\raw_search_results\synthetic-005.json
synthetic-006,"Our engineering team is setting up a new shared workspace on Slack and needs to ensure proper access controls. Please verify our integration by testing connectivity to our communication platform, and then search our Enterprise workspace to locate the specific engineering channel where we will deploy our coordination tools.",googlecalendar; slack,SLACK_ADMIN_CONVERSATIONS_SEARCH; SLACK_API_TEST,2,5,0.0,0.0,0.0,2,SLACK_ADMIN_CONVERSATIONS_SEARCH; SLACK_API_TEST,,9,SLACK_ASSISTANT_SEARCH_INFO; SLACK_FETCH_CONVERSATION_HISTORY; SLACK_FIND_CHANNELS; SLACK_FIND_USERS; SLACK_LIST_ALL_CHANNELS; SLACK_LIST_ALL_USERS; SLACK_LIST_CONVERSATIONS; SLACK_SEARCH_ALL; SLACK_TEST_AUTH,SLACK_LIST_ALL_CHANNELS; SLACK_LIST_ALL_USERS; SLACK_TEST_AUTH,SLACK_ASSISTANT_SEARCH_INFO; SLACK_LIST_CONVERSATIONS; SLACK_FIND_CHANNELS; SLACK_FIND_USERS; SLACK_SEARCH_ALL; SLACK_FETCH_CONVERSATION_HISTORY,slack,,2.11,2.11,,False,synthetic_multi_tool_evaluation\raw_search_results\synthetic-006.json
synthetic-007,"I need to share my project calendar with a new contractor and also clean out obsolete notification emails from my inbox. First, grant access to 'contractor@example.com' on my main calendar. Then, permanently delete all the outdated alert messages from my inbox in bulk to ensure proper mailbox hygiene.",gmail; googlecalendar,GMAIL_BATCH_DELETE_MESSAGES; GOOGLECALENDAR_ACL_INSERT,2,5,0.5,0.5,0.125,1,GMAIL_BATCH_DELETE_MESSAGES,,7,GMAIL_FETCH_EMAILS; GMAIL_SEARCH_PEOPLE; OUTLOOK_CREATE_ME_CALENDAR_PERMISSION; OUTLOOK_DELETE_CALENDAR_PERMANENTLY; OUTLOOK_DELETE_ME_CALENDAR_PERMISSION; OUTLOOK_LIST_CALENDARS; OUTLOOK_LIST_ME_CALENDAR_PERMISSIONS,OUTLOOK_DELETE_CALENDAR_PERMANENTLY; GOOGLECALENDAR_ACL_INSERT; OUTLOOK_CREATE_ME_CALENDAR_PERMISSION,OUTLOOK_LIST_ME_CALENDAR_PERMISSIONS; OUTLOOK_DELETE_ME_CALENDAR_PERMISSION; OUTLOOK_LIST_CALENDARS; GMAIL_FETCH_EMAILS; GMAIL_SEARCH_PEOPLE,gmail; googlecalendar; outlook,OUTLOOK,3.23,3.23,,False,synthetic_multi_tool_evaluation\raw_search_results\synthetic-007.json
synthetic-008,"We are finalizing a client-facing project document and need to clean up its formatting before handing it over. Please remove the bullet points from the introductory section, and delete the existing header from the default section. Afterward, attach a custom metadata tag indicating the document status as 'finalized' so the team can easily track it in our storage.",googledocs; googledrive,GOOGLEDOCS_DELETE_HEADER; GOOGLEDOCS_DELETE_PARAGRAPH_BULLETS; GOOGLEDRIVE_ADD_PROPERTY,3,5,0.6667,0.6667,0.2222,1,GOOGLEDRIVE_ADD_PROPERTY,,7,GMAIL_FETCH_EMAILS; GMAIL_SEARCH_PEOPLE; GOOGLEDOCS_CREATE_FOOTER; GOOGLEDOCS_CREATE_HEADER; GOOGLEDOCS_DELETE_FOOTER; GOOGLESUPER_DELETE_HEADER; GOOGLESUPER_GET_DOCUMENT_BY_ID,GOOGLEDOCS_DELETE_HEADER; GOOGLEDOCS_DELETE_FOOTER; GOOGLESUPER_DELETE_HEADER; GOOGLEDOCS_DELETE_PARAGRAPH_BULLETS,GOOGLEDOCS_CREATE_HEADER; GOOGLEDOCS_CREATE_FOOTER; GOOGLESUPER_GET_DOCUMENT_BY_ID; GMAIL_FETCH_EMAILS; GMAIL_SEARCH_PEOPLE,gmail; googledocs; googlesuper,GMAIL; GOOGLESUPER,3.63,3.63,,False,synthetic_multi_tool_evaluation\raw_search_results\synthetic-008.json
synthetic-009,"Our engineering team is launching a new project and needs a dedicated workspace. Please set up a new public Slack channel for the team discussions, and simultaneously create a corresponding central project folder in our Google Drive so we can start organizing our initial documentation and deliverables.",googledrive; slack,GOOGLEDRIVE_CREATE_FILE; SLACK_CREATE_CHANNEL,2,5,0.5,0.5,0.1667,1,GOOGLEDRIVE_CREATE_FILE,,5,SLACK_CREATE_CHANNEL_BASED_CONVERSATION; SLACK_INVITE_USERS_TO_A_SLACK_CHANNEL; SLACK_LIST_AVAILABLE_WORKSPACES; SLACK_SEND_MESSAGE; SLACK_SET_THE_TOPIC_OF_A_CONVERSATION,SLACK_CREATE_CHANNEL; SLACK_CREATE_CHANNEL_BASED_CONVERSATION,SLACK_INVITE_USERS_TO_A_SLACK_CHANNEL; SLACK_SET_THE_TOPIC_OF_A_CONVERSATION; SLACK_SEND_MESSAGE; SLACK_LIST_AVAILABLE_WORKSPACES,slack,,2.76,2.76,,False,synthetic_multi_tool_evaluation\raw_search_results\synthetic-009.json
synthetic-010,"We are restructuring our project documentation and tracking. Please create a new Trello board named 'Q3 Product Roadmap' for our upcoming campaign tasks. At the same time, set up a corresponding ClickUp Doc in our workspace to serve as the master project brief, and append the initial outline paragraphs to our existing Notion planning page so the team has immediate access to all resources.",clickup; notion; trello,CLICKUP_CREATE_DOC; NOTION_APPEND_TEXT_BLOCKS; TRELLO_ADD_BOARDS,3,5,0.3333,0.3333,0.1667,2,CLICKUP_CREATE_DOC; TRELLO_ADD_BOARDS,,5,CLICKUP_CLICK_UP_UPDATE_DOC_PAGE; CLICKUP_CREATE_DOC_PAGE; CLICKUP_GET_DOC_PAGE_LISTING; NOTION_ADD_MULTIPLE_PAGE_CONTENT; NOTION_SEARCH_NOTION_PAGE,CLICKUP_CREATE_DOC_PAGE; NOTION_APPEND_TEXT_BLOCKS,CLICKUP_CLICK_UP_UPDATE_DOC_PAGE; CLICKUP_GET_DOC_PAGE_LISTING; NOTION_SEARCH_NOTION_PAGE; NOTION_ADD_MULTIPLE_PAGE_CONTENT,clickup; notion,,2.42,2.42,,False,synthetic_multi_tool_evaluation\raw_search_results\synthetic-010.json
