query_id,workflow_id,workflow_task,query,required_tools,supporting_tools,rationale,candidate_tools,source_query_id,variant_dimension,expected_count,primary_hit,any_hit,primary_recall,recall,primary_rank,related_only_tools,missed_tools,extra_tools,primary_tools,related_tools,returned_toolkits,api_search_latency_sec,end_to_end_latency_sec,error,no_results_returned,raw_result_path
workflow-001-q1-explicit,1,"Prepare HubSpot launch assets for a paid event registration flow: assess payment-link feasibility, create a review-only automated confirmation email, create a disabled confirmation workflow, verify the assets remain inert, and attempt to create a custom-object registration ledger.",check granted permissions and scopes for HubSpot marketing and workflow automation,['HUBSPOT_LIST_GRANTED_SCOPES'],[],Assessing feasibility and authorization before creating assets requires checking current granted scopes.,"['HUBSPOT_CLONE_MARKETING_EMAIL', 'HUBSPOT_CREATE_OBJECT_SCHEMA', 'HUBSPOT_CREATE_OR_UPDATE_DRAFT_VERSION', 'HUBSPOT_CREATE_WORKFLOW', 'HUBSPOT_GET_ALL_MARKETING_EMAILS_FOR_A_HUBSPOT_ACCOUNT', 'HUBSPOT_GET_THE_DETAILS_OF_A_SPECIFIED_MARKETING_EMAIL', 'HUBSPOT_GET_WORKFLOWS', 'HUBSPOT_GET_WORKFLOW_BY_ID', 'HUBSPOT_LIST_GRANTED_SCOPES', 'HUBSPOT_SEARCH_EMAILS']",workflow-001-q1,explicit,1,True,True,1.0,1.0,1,,,HUBSPOT_GET_ACCOUNT_INFO,HUBSPOT_LIST_GRANTED_SCOPES,HUBSPOT_GET_ACCOUNT_INFO,hubspot,2.48,2.48,,False,C:\Users\miral\OneDrive\Documents\Evsys\src\query_robustness_evaluation\raw_search_results\workflow-001-q1-explicit.json
workflow-001-q1-implicit,1,"Prepare HubSpot launch assets for a paid event registration flow: assess payment-link feasibility, create a review-only automated confirmation email, create a disabled confirmation workflow, verify the assets remain inert, and attempt to create a custom-object registration ledger.",view currently approved API access levels and authorization scopes for marketing and automation features,['HUBSPOT_LIST_GRANTED_SCOPES'],[],Assessing feasibility and authorization before creating assets requires checking current granted scopes.,"['HUBSPOT_CLONE_MARKETING_EMAIL', 'HUBSPOT_CREATE_OBJECT_SCHEMA', 'HUBSPOT_CREATE_OR_UPDATE_DRAFT_VERSION', 'HUBSPOT_CREATE_WORKFLOW', 'HUBSPOT_GET_ALL_MARKETING_EMAILS_FOR_A_HUBSPOT_ACCOUNT', 'HUBSPOT_GET_THE_DETAILS_OF_A_SPECIFIED_MARKETING_EMAIL', 'HUBSPOT_GET_WORKFLOWS', 'HUBSPOT_GET_WORKFLOW_BY_ID', 'HUBSPOT_LIST_GRANTED_SCOPES', 'HUBSPOT_SEARCH_EMAILS']",workflow-001-q1,implicit,1,True,True,1.0,1.0,1,,,HUBSPOT_GET_ACCOUNT_INFO; SENDGRID_GET_USER_SCOPES; SENDGRID_RETRIEVE_AN_EXISTING_API_KEY; SENDGRID_UPDATE_API_KEY_NAME_AND_SCOPES,HUBSPOT_LIST_GRANTED_SCOPES; SENDGRID_GET_USER_SCOPES,HUBSPOT_GET_ACCOUNT_INFO; SENDGRID_UPDATE_API_KEY_NAME_AND_SCOPES; SENDGRID_RETRIEVE_AN_EXISTING_API_KEY,hubspot; sendgrid,2.95,2.95,,False,C:\Users\miral\OneDrive\Documents\Evsys\src\query_robustness_evaluation\raw_search_results\workflow-001-q1-implicit.json
workflow-001-q1-paraphrase,1,"Prepare HubSpot launch assets for a paid event registration flow: assess payment-link feasibility, create a review-only automated confirmation email, create a disabled confirmation workflow, verify the assets remain inert, and attempt to create a custom-object registration ledger.",what permissions and scopes have been granted for workflow and marketing tools,['HUBSPOT_LIST_GRANTED_SCOPES'],[],Assessing feasibility and authorization before creating assets requires checking current granted scopes.,"['HUBSPOT_CLONE_MARKETING_EMAIL', 'HUBSPOT_CREATE_OBJECT_SCHEMA', 'HUBSPOT_CREATE_OR_UPDATE_DRAFT_VERSION', 'HUBSPOT_CREATE_WORKFLOW', 'HUBSPOT_GET_ALL_MARKETING_EMAILS_FOR_A_HUBSPOT_ACCOUNT', 'HUBSPOT_GET_THE_DETAILS_OF_A_SPECIFIED_MARKETING_EMAIL', 'HUBSPOT_GET_WORKFLOWS', 'HUBSPOT_GET_WORKFLOW_BY_ID', 'HUBSPOT_LIST_GRANTED_SCOPES', 'HUBSPOT_SEARCH_EMAILS']",workflow-001-q1,paraphrase,1,True,True,1.0,1.0,1,,,HUBSPOT_GET_ACCOUNT_INFO; MICROSOFT_TEAMS_LIST_TEAM_PERMISSION_GRANTS; MICROSOFT_TEAMS_TEAMS_LIST; RAILWAY_LIST_GIT_HUB_REPOS; RAILWAY_LIST_GIT_HUB_WRITABLE_SCOPES; RAILWAY_LIST_INTEGRATION_AUTHS; SHOPIFY_GET_ACCESS_SCOPES,HUBSPOT_LIST_GRANTED_SCOPES; RAILWAY_LIST_GIT_HUB_WRITABLE_SCOPES; MICROSOFT_TEAMS_LIST_TEAM_PERMISSION_GRANTS; SHOPIFY_GET_ACCESS_SCOPES,HUBSPOT_GET_ACCOUNT_INFO; RAILWAY_LIST_INTEGRATION_AUTHS; RAILWAY_LIST_GIT_HUB_REPOS; MICROSOFT_TEAMS_TEAMS_LIST,hubspot; railway; microsoft_teams; shopify,4.8,4.8,,False,C:\Users\miral\OneDrive\Documents\Evsys\src\query_robustness_evaluation\raw_search_results\workflow-001-q1-paraphrase.json
workflow-001-q2-explicit,1,"Prepare HubSpot launch assets for a paid event registration flow: assess payment-link feasibility, create a review-only automated confirmation email, create a disabled confirmation workflow, verify the assets remain inert, and attempt to create a custom-object registration ledger.",set up an automated review email in HubSpot for registration confirmation,['HUBSPOT_CLONE_MARKETING_EMAIL'],"['HUBSPOT_SEARCH_EMAILS', 'HUBSPOT_GET_THE_DETAILS_OF_A_SPECIFIED_MARKETING_EMAIL']",Setting up a review-only confirmation email requires finding and cloning an existing marketing email template.,"['HUBSPOT_CLONE_MARKETING_EMAIL', 'HUBSPOT_CREATE_OBJECT_SCHEMA', 'HUBSPOT_CREATE_OR_UPDATE_DRAFT_VERSION', 'HUBSPOT_CREATE_WORKFLOW', 'HUBSPOT_GET_ALL_MARKETING_EMAILS_FOR_A_HUBSPOT_ACCOUNT', 'HUBSPOT_GET_THE_DETAILS_OF_A_SPECIFIED_MARKETING_EMAIL', 'HUBSPOT_GET_WORKFLOWS', 'HUBSPOT_GET_WORKFLOW_BY_ID', 'HUBSPOT_LIST_GRANTED_SCOPES', 'HUBSPOT_SEARCH_EMAILS']",workflow-001-q2,explicit,1,False,False,0.0,0.0,,,HUBSPOT_CLONE_MARKETING_EMAIL,HUBSPOT_CREATE_EMAIL; HUBSPOT_CREATE_EMAILS; HUBSPOT_CREATE_OBJECT_ASSOCIATION; HUBSPOT_LIST_ASSOCIATION_TYPES; HUBSPOT_READ_ALL_PROPERTIES_FOR_OBJECT_TYPE; HUBSPOT_READ_EMAIL; HUBSPOT_SEARCH_CONTACTS_BY_CRITERIA,HUBSPOT_CREATE_EMAIL,HUBSPOT_READ_EMAIL; HUBSPOT_CREATE_EMAILS; HUBSPOT_READ_ALL_PROPERTIES_FOR_OBJECT_TYPE; HUBSPOT_CREATE_OBJECT_ASSOCIATION; HUBSPOT_LIST_ASSOCIATION_TYPES; HUBSPOT_SEARCH_CONTACTS_BY_CRITERIA,hubspot,5.57,5.57,,False,C:\Users\miral\OneDrive\Documents\Evsys\src\query_robustness_evaluation\raw_search_results\workflow-001-q2-explicit.json
workflow-001-q2-implicit,1,"Prepare HubSpot launch assets for a paid event registration flow: assess payment-link feasibility, create a review-only automated confirmation email, create a disabled confirmation workflow, verify the assets remain inert, and attempt to create a custom-object registration ledger.",create an automated review email for registration confirmation,['HUBSPOT_CLONE_MARKETING_EMAIL'],"['HUBSPOT_SEARCH_EMAILS', 'HUBSPOT_GET_THE_DETAILS_OF_A_SPECIFIED_MARKETING_EMAIL']",Setting up a review-only confirmation email requires finding and cloning an existing marketing email template.,"['HUBSPOT_CLONE_MARKETING_EMAIL', 'HUBSPOT_CREATE_OBJECT_SCHEMA', 'HUBSPOT_CREATE_OR_UPDATE_DRAFT_VERSION', 'HUBSPOT_CREATE_WORKFLOW', 'HUBSPOT_GET_ALL_MARKETING_EMAILS_FOR_A_HUBSPOT_ACCOUNT', 'HUBSPOT_GET_THE_DETAILS_OF_A_SPECIFIED_MARKETING_EMAIL', 'HUBSPOT_GET_WORKFLOWS', 'HUBSPOT_GET_WORKFLOW_BY_ID', 'HUBSPOT_LIST_GRANTED_SCOPES', 'HUBSPOT_SEARCH_EMAILS']",workflow-001-q2,implicit,1,False,False,0.0,0.0,,,HUBSPOT_CLONE_MARKETING_EMAIL,PENPOT_PREPARE_REGISTER_PROFILE; PENPOT_REGISTER_PROFILE; PENPOT_VERIFY_TOKEN,PENPOT_PREPARE_REGISTER_PROFILE,PENPOT_REGISTER_PROFILE; PENPOT_VERIFY_TOKEN,penpot,2.57,2.57,,False,C:\Users\miral\OneDrive\Documents\Evsys\src\query_robustness_evaluation\raw_search_results\workflow-001-q2-implicit.json
workflow-001-q2-paraphrase,1,"Prepare HubSpot launch assets for a paid event registration flow: assess payment-link feasibility, create a review-only automated confirmation email, create a disabled confirmation workflow, verify the assets remain inert, and attempt to create a custom-object registration ledger.",generate an automated feedback email following a successful registration,['HUBSPOT_CLONE_MARKETING_EMAIL'],"['HUBSPOT_SEARCH_EMAILS', 'HUBSPOT_GET_THE_DETAILS_OF_A_SPECIFIED_MARKETING_EMAIL']",Setting up a review-only confirmation email requires finding and cloning an existing marketing email template.,"['HUBSPOT_CLONE_MARKETING_EMAIL', 'HUBSPOT_CREATE_OBJECT_SCHEMA', 'HUBSPOT_CREATE_OR_UPDATE_DRAFT_VERSION', 'HUBSPOT_CREATE_WORKFLOW', 'HUBSPOT_GET_ALL_MARKETING_EMAILS_FOR_A_HUBSPOT_ACCOUNT', 'HUBSPOT_GET_THE_DETAILS_OF_A_SPECIFIED_MARKETING_EMAIL', 'HUBSPOT_GET_WORKFLOWS', 'HUBSPOT_GET_WORKFLOW_BY_ID', 'HUBSPOT_LIST_GRANTED_SCOPES', 'HUBSPOT_SEARCH_EMAILS']",workflow-001-q2,paraphrase,1,False,False,0.0,0.0,,,HUBSPOT_CLONE_MARKETING_EMAIL,RESEND_CREATE_TEMPLATE; RESEND_DUPLICATE_TEMPLATE; RESEND_GET_TEMPLATE; RESEND_SEND_EMAIL; RESEND_UPDATE_TEMPLATE,RESEND_CREATE_TEMPLATE; RESEND_SEND_EMAIL,RESEND_GET_TEMPLATE; RESEND_UPDATE_TEMPLATE; RESEND_DUPLICATE_TEMPLATE,resend,2.16,2.16,,False,C:\Users\miral\OneDrive\Documents\Evsys\src\query_robustness_evaluation\raw_search_results\workflow-001-q2-paraphrase.json
workflow-001-q3-explicit,1,"Prepare HubSpot launch assets for a paid event registration flow: assess payment-link feasibility, create a review-only automated confirmation email, create a disabled confirmation workflow, verify the assets remain inert, and attempt to create a custom-object registration ledger.",Set up a HubSpot workflow that is initially turned off,['HUBSPOT_CREATE_WORKFLOW'],['HUBSPOT_GET_WORKFLOWS'],Building the registration workflow in a disabled state requires the workflow creation tool.,"['HUBSPOT_CLONE_MARKETING_EMAIL', 'HUBSPOT_CREATE_OBJECT_SCHEMA', 'HUBSPOT_CREATE_OR_UPDATE_DRAFT_VERSION', 'HUBSPOT_CREATE_WORKFLOW', 'HUBSPOT_GET_ALL_MARKETING_EMAILS_FOR_A_HUBSPOT_ACCOUNT', 'HUBSPOT_GET_THE_DETAILS_OF_A_SPECIFIED_MARKETING_EMAIL', 'HUBSPOT_GET_WORKFLOWS', 'HUBSPOT_GET_WORKFLOW_BY_ID', 'HUBSPOT_LIST_GRANTED_SCOPES', 'HUBSPOT_SEARCH_EMAILS']",workflow-001-q3,explicit,1,True,True,1.0,1.0,1,,,HUBSPOT_GET_WORKFLOWS; HUBSPOT_GET_WORKFLOW_BY_ID; HUBSPOT_LIST_CONTACTS; HUBSPOT_LIST_GRANTED_SCOPES; HUBSPOT_READ_ALL_PROPERTIES_FOR_OBJECT_TYPE; HUBSPOT_SEARCH_CONTACTS_BY_CRITERIA; HUBSPOT_UPDATE_CONTACT,HUBSPOT_CREATE_WORKFLOW; HUBSPOT_SEARCH_CONTACTS_BY_CRITERIA; HUBSPOT_UPDATE_CONTACT,HUBSPOT_GET_WORKFLOWS; HUBSPOT_LIST_CONTACTS; HUBSPOT_LIST_GRANTED_SCOPES; HUBSPOT_GET_WORKFLOW_BY_ID; HUBSPOT_READ_ALL_PROPERTIES_FOR_OBJECT_TYPE,hubspot,2.95,2.95,,False,C:\Users\miral\OneDrive\Documents\Evsys\src\query_robustness_evaluation\raw_search_results\workflow-001-q3-explicit.json
workflow-001-q3-implicit,1,"Prepare HubSpot launch assets for a paid event registration flow: assess payment-link feasibility, create a review-only automated confirmation email, create a disabled confirmation workflow, verify the assets remain inert, and attempt to create a custom-object registration ledger.",Make a new workflow in a disabled state,['HUBSPOT_CREATE_WORKFLOW'],['HUBSPOT_GET_WORKFLOWS'],Building the registration workflow in a disabled state requires the workflow creation tool.,"['HUBSPOT_CLONE_MARKETING_EMAIL', 'HUBSPOT_CREATE_OBJECT_SCHEMA', 'HUBSPOT_CREATE_OR_UPDATE_DRAFT_VERSION', 'HUBSPOT_CREATE_WORKFLOW', 'HUBSPOT_GET_ALL_MARKETING_EMAILS_FOR_A_HUBSPOT_ACCOUNT', 'HUBSPOT_GET_THE_DETAILS_OF_A_SPECIFIED_MARKETING_EMAIL', 'HUBSPOT_GET_WORKFLOWS', 'HUBSPOT_GET_WORKFLOW_BY_ID', 'HUBSPOT_LIST_GRANTED_SCOPES', 'HUBSPOT_SEARCH_EMAILS']",workflow-001-q3,implicit,1,False,False,0.0,0.0,,,HUBSPOT_CREATE_WORKFLOW,LINEAR_GET_ALL_LINEAR_TEAMS; LINEAR_GET_CURRENT_USER; LINEAR_LIST_LINEAR_STATES; LINEAR_RUN_QUERY_OR_MUTATION,LINEAR_RUN_QUERY_OR_MUTATION,LINEAR_LIST_LINEAR_STATES; LINEAR_GET_ALL_LINEAR_TEAMS; LINEAR_GET_CURRENT_USER,linear,2.28,2.28,,False,C:\Users\miral\OneDrive\Documents\Evsys\src\query_robustness_evaluation\raw_search_results\workflow-001-q3-implicit.json
workflow-001-q3-paraphrase,1,"Prepare HubSpot launch assets for a paid event registration flow: assess payment-link feasibility, create a review-only automated confirmation email, create a disabled confirmation workflow, verify the assets remain inert, and attempt to create a custom-object registration ledger.",Build an inactive automated workflow,['HUBSPOT_CREATE_WORKFLOW'],['HUBSPOT_GET_WORKFLOWS'],Building the registration workflow in a disabled state requires the workflow creation tool.,"['HUBSPOT_CLONE_MARKETING_EMAIL', 'HUBSPOT_CREATE_OBJECT_SCHEMA', 'HUBSPOT_CREATE_OR_UPDATE_DRAFT_VERSION', 'HUBSPOT_CREATE_WORKFLOW', 'HUBSPOT_GET_ALL_MARKETING_EMAILS_FOR_A_HUBSPOT_ACCOUNT', 'HUBSPOT_GET_THE_DETAILS_OF_A_SPECIFIED_MARKETING_EMAIL', 'HUBSPOT_GET_WORKFLOWS', 'HUBSPOT_GET_WORKFLOW_BY_ID', 'HUBSPOT_LIST_GRANTED_SCOPES', 'HUBSPOT_SEARCH_EMAILS']",workflow-001-q3,paraphrase,1,False,False,0.0,0.0,,,HUBSPOT_CREATE_WORKFLOW,HELP_SCOUT_LIST_WORKFLOWS; HELP_SCOUT_RUN_MANUAL_WORKFLOW; HELP_SCOUT_UPDATE_WORKFLOW_STATUS,HELP_SCOUT_UPDATE_WORKFLOW_STATUS,HELP_SCOUT_LIST_WORKFLOWS; HELP_SCOUT_RUN_MANUAL_WORKFLOW,help_scout,3.4,3.4,,False,C:\Users\miral\OneDrive\Documents\Evsys\src\query_robustness_evaluation\raw_search_results\workflow-001-q3-paraphrase.json
workflow-001-q4-explicit,1,"Prepare HubSpot launch assets for a paid event registration flow: assess payment-link feasibility, create a review-only automated confirmation email, create a disabled confirmation workflow, verify the assets remain inert, and attempt to create a custom-object registration ledger.",create a custom object schema for the registration ledger in HubSpot,['HUBSPOT_CREATE_OBJECT_SCHEMA'],[],Attempting to create a custom-object registration ledger requires defining a new object schema.,"['HUBSPOT_CLONE_MARKETING_EMAIL', 'HUBSPOT_CREATE_OBJECT_SCHEMA', 'HUBSPOT_CREATE_OR_UPDATE_DRAFT_VERSION', 'HUBSPOT_CREATE_WORKFLOW', 'HUBSPOT_GET_ALL_MARKETING_EMAILS_FOR_A_HUBSPOT_ACCOUNT', 'HUBSPOT_GET_THE_DETAILS_OF_A_SPECIFIED_MARKETING_EMAIL', 'HUBSPOT_GET_WORKFLOWS', 'HUBSPOT_GET_WORKFLOW_BY_ID', 'HUBSPOT_LIST_GRANTED_SCOPES', 'HUBSPOT_SEARCH_EMAILS']",workflow-001-q4,explicit,1,True,True,1.0,1.0,1,,,HUBSPOT_CREATE_AND_RETURN_A_NEW_PROPERTY_GROUP; HUBSPOT_CREATE_BATCH_OF_PROPERTIES; HUBSPOT_CREATE_PROPERTY_FOR_SPECIFIED_OBJECT_TYPE; HUBSPOT_LIST_GRANTED_SCOPES; HUBSPOT_READ_ALL_PROPERTIES_FOR_OBJECT_TYPE; HUBSPOT_READ_PROPERTY_GROUPS_FOR_OBJECT_TYPE; HUBSPOT_RETRIEVE_ALL_OBJECT_SCHEMAS; HUBSPOT_RETRIEVE_OBJECT_SCHEMA; HUBSPOT_UPDATE_OBJECT_SCHEMA,HUBSPOT_CREATE_OBJECT_SCHEMA; HUBSPOT_UPDATE_OBJECT_SCHEMA; HUBSPOT_RETRIEVE_ALL_OBJECT_SCHEMAS; HUBSPOT_CREATE_BATCH_OF_PROPERTIES,HUBSPOT_RETRIEVE_OBJECT_SCHEMA; HUBSPOT_LIST_GRANTED_SCOPES; HUBSPOT_CREATE_PROPERTY_FOR_SPECIFIED_OBJECT_TYPE; HUBSPOT_READ_PROPERTY_GROUPS_FOR_OBJECT_TYPE; HUBSPOT_CREATE_AND_RETURN_A_NEW_PROPERTY_GROUP; HUBSPOT_READ_ALL_PROPERTIES_FOR_OBJECT_TYPE,hubspot,1.83,1.83,,False,C:\Users\miral\OneDrive\Documents\Evsys\src\query_robustness_evaluation\raw_search_results\workflow-001-q4-explicit.json
