query_id,workflow_id,workflow_task,query,intent,requirement_groups,candidate_tools,expected_groups,primary_hit,any_hit,primary_recall,recall,missed_groups,missed_purposes,extra_tools,primary_tools,related_tools,returned_toolkits,api_search_latency_sec,end_to_end_latency_sec,error,no_results_returned,raw_result_path,judged_recall,judged_notes,was_judged
workflow-001-q1,1,"Prepare HubSpot launch assets for a paid event registration flow: assess payment-link feasibility, create a review-only automated confirmation email, create a disabled confirmation workflow, verify the assets remain inert, and attempt to create a custom-object registration ledger.",check payment link capabilities and configuration,Assess the feasibility and setup options for HubSpot payment links for the paid event registration flow.,"[{'acceptable_tool_slugs': ['HUBSPOT_LIST_GRANTED_SCOPES'], 'purpose': 'check permissions and scopes for payment link features'}]","['HUBSPOT_CLONE_MARKETING_EMAIL', 'HUBSPOT_CREATE_OBJECT_SCHEMA', 'HUBSPOT_CREATE_OR_UPDATE_DRAFT_VERSION', 'HUBSPOT_CREATE_WORKFLOW', 'HUBSPOT_GET_ALL_MARKETING_EMAILS_FOR_A_HUBSPOT_ACCOUNT', 'HUBSPOT_GET_THE_DETAILS_OF_A_SPECIFIED_MARKETING_EMAIL', 'HUBSPOT_GET_WORKFLOWS', 'HUBSPOT_GET_WORKFLOW_BY_ID', 'HUBSPOT_LIST_GRANTED_SCOPES', 'HUBSPOT_SEARCH_EMAILS']",1,False,False,0.0,0.0,HUBSPOT_LIST_GRANTED_SCOPES,check permissions and scopes for payment link features,STRIPE_CREATE_PAYMENT_LINK; STRIPE_GET_PAYMENT_LINK; STRIPE_GET_PAYMENT_LINKS_PAYMENT_LINK_LINE_ITEMS; STRIPE_GET_PRICES_PRICE; STRIPE_GET_PRODUCTS_ID; STRIPE_LIST_PAYMENT_LINKS; STRIPE_POST_V1_PAYMENT_LINKS_THE_PAYMENT_LINK2; STRIPE_UPDATE_PAYMENT_LINK,STRIPE_UPDATE_PAYMENT_LINK; STRIPE_GET_PAYMENT_LINK,STRIPE_LIST_PAYMENT_LINKS; STRIPE_GET_PAYMENT_LINKS_PAYMENT_LINK_LINE_ITEMS; STRIPE_POST_V1_PAYMENT_LINKS_THE_PAYMENT_LINK2; STRIPE_CREATE_PAYMENT_LINK; STRIPE_GET_PRICES_PRICE; STRIPE_GET_PRODUCTS_ID,stripe,2.0,2.0,,False,C:\Users\miral\OneDrive\Documents\Evsys\src\query_level_workflow_evaluation\raw_search_results\workflow-001-q1.json,0.0,,False
workflow-001-q2,1,"Prepare HubSpot launch assets for a paid event registration flow: assess payment-link feasibility, create a review-only automated confirmation email, create a disabled confirmation workflow, verify the assets remain inert, and attempt to create a custom-object registration ledger.",create automated email and workflow,Create the review-only automated confirmation email and the disabled confirmation workflow in HubSpot.,"[{'acceptable_tool_slugs': ['HUBSPOT_CLONE_MARKETING_EMAIL', 'HUBSPOT_CREATE_OR_UPDATE_DRAFT_VERSION'], 'purpose': 'create or prepare the review-only automated confirmation email'}, {'acceptable_tool_slugs': ['HUBSPOT_CREATE_WORKFLOW'], 'purpose': 'create the confirmation workflow'}]","['HUBSPOT_CLONE_MARKETING_EMAIL', 'HUBSPOT_CREATE_OBJECT_SCHEMA', 'HUBSPOT_CREATE_OR_UPDATE_DRAFT_VERSION', 'HUBSPOT_CREATE_WORKFLOW', 'HUBSPOT_GET_ALL_MARKETING_EMAILS_FOR_A_HUBSPOT_ACCOUNT', 'HUBSPOT_GET_THE_DETAILS_OF_A_SPECIFIED_MARKETING_EMAIL', 'HUBSPOT_GET_WORKFLOWS', 'HUBSPOT_GET_WORKFLOW_BY_ID', 'HUBSPOT_LIST_GRANTED_SCOPES', 'HUBSPOT_SEARCH_EMAILS']",2,False,False,0.0,0.0,HUBSPOT_CLONE_MARKETING_EMAIL | HUBSPOT_CREATE_OR_UPDATE_DRAFT_VERSION; HUBSPOT_CREATE_WORKFLOW,create or prepare the review-only automated confirmation email; create the confirmation workflow,INTERCOM_CREATE_CONTACT; INTERCOM_CREATE_DATA_EVENT; INTERCOM_CREATE_TICKET_TYPE; INTERCOM_CREATE_TICKET_TYPE_ATTRIBUTE; INTERCOM_GET_TICKET_TYPE; INTERCOM_LIST_DATA_EVENTS; INTERCOM_LIST_TICKET_TYPES; INTERCOM_SEARCH_CONTACTS; INTERCOM_UPDATE_TICKET_TYPE,INTERCOM_CREATE_DATA_EVENT; INTERCOM_CREATE_TICKET_TYPE; INTERCOM_CREATE_TICKET_TYPE_ATTRIBUTE; INTERCOM_UPDATE_TICKET_TYPE,INTERCOM_LIST_DATA_EVENTS; INTERCOM_SEARCH_CONTACTS; INTERCOM_CREATE_CONTACT; INTERCOM_LIST_TICKET_TYPES; INTERCOM_GET_TICKET_TYPE,intercom,2.69,2.69,,False,C:\Users\miral\OneDrive\Documents\Evsys\src\query_level_workflow_evaluation\raw_search_results\workflow-001-q2.json,0.0,,False
workflow-001-q3,1,"Prepare HubSpot launch assets for a paid event registration flow: assess payment-link feasibility, create a review-only automated confirmation email, create a disabled confirmation workflow, verify the assets remain inert, and attempt to create a custom-object registration ledger.",verify asset status and test inertness,Verify that the created HubSpot launch assets remain inert and safe before activation.,"[{'acceptable_tool_slugs': ['HUBSPOT_GET_WORKFLOW_BY_ID', 'HUBSPOT_GET_THE_DETAILS_OF_A_SPECIFIED_MARKETING_EMAIL'], 'purpose': 'verify the status and configuration of the created assets'}]","['HUBSPOT_CLONE_MARKETING_EMAIL', 'HUBSPOT_CREATE_OBJECT_SCHEMA', 'HUBSPOT_CREATE_OR_UPDATE_DRAFT_VERSION', 'HUBSPOT_CREATE_WORKFLOW', 'HUBSPOT_GET_ALL_MARKETING_EMAILS_FOR_A_HUBSPOT_ACCOUNT', 'HUBSPOT_GET_THE_DETAILS_OF_A_SPECIFIED_MARKETING_EMAIL', 'HUBSPOT_GET_WORKFLOWS', 'HUBSPOT_GET_WORKFLOW_BY_ID', 'HUBSPOT_LIST_GRANTED_SCOPES', 'HUBSPOT_SEARCH_EMAILS']",1,False,False,0.0,0.0,HUBSPOT_GET_WORKFLOW_BY_ID | HUBSPOT_GET_THE_DETAILS_OF_A_SPECIFIED_MARKETING_EMAIL,verify the status and configuration of the created assets,BLAZEMETER_GET_WORKSPACES; BLAZEMETER_GET_WORKSPACES_ASSETS; BLAZEMETER_GET_WORKSPACES_ASSETS2; BLAZEMETER_GET_WORKSPACES_ASSETS_DATA; BLAZEMETER_GET_WORKSPACES_ASSETS_DEPENDENCIES3; BLAZEMETER_UPDATE_WORKSPACES_ASSETS; BLAZEMETER_VALIDATE_WORKSPACES_ASSETS; DATABRICKS_CLEANROOMS_CLEAN_ROOMS_CREATE; DATABRICKS_CLEANROOMS_CLEAN_ROOM_ASSETS_GET; REPAIRSHOPR_GET_ASSET; WEBFLOW_GET_ASSET,BLAZEMETER_VALIDATE_WORKSPACES_ASSETS; BLAZEMETER_GET_WORKSPACES_ASSETS2; DATABRICKS_CLEANROOMS_CLEAN_ROOM_ASSETS_GET; WEBFLOW_GET_ASSET; REPAIRSHOPR_GET_ASSET,BLAZEMETER_GET_WORKSPACES; BLAZEMETER_GET_WORKSPACES_ASSETS; BLAZEMETER_UPDATE_WORKSPACES_ASSETS; BLAZEMETER_GET_WORKSPACES_ASSETS_DATA; BLAZEMETER_GET_WORKSPACES_ASSETS_DEPENDENCIES3; DATABRICKS_CLEANROOMS_CLEAN_ROOMS_CREATE,blazemeter; databricks; webflow; repairshopr,2.43,2.43,,False,C:\Users\miral\OneDrive\Documents\Evsys\src\query_level_workflow_evaluation\raw_search_results\workflow-001-q3.json,0.0,,False
workflow-001-q4,1,"Prepare HubSpot launch assets for a paid event registration flow: assess payment-link feasibility, create a review-only automated confirmation email, create a disabled confirmation workflow, verify the assets remain inert, and attempt to create a custom-object registration ledger.",create custom object registration ledger,Attempt to create a custom-object registration ledger to track event attendees.,"[{'acceptable_tool_slugs': ['HUBSPOT_CREATE_OBJECT_SCHEMA'], 'purpose': 'create a custom-object registration ledger schema'}]","['HUBSPOT_CLONE_MARKETING_EMAIL', 'HUBSPOT_CREATE_OBJECT_SCHEMA', 'HUBSPOT_CREATE_OR_UPDATE_DRAFT_VERSION', 'HUBSPOT_CREATE_WORKFLOW', 'HUBSPOT_GET_ALL_MARKETING_EMAILS_FOR_A_HUBSPOT_ACCOUNT', 'HUBSPOT_GET_THE_DETAILS_OF_A_SPECIFIED_MARKETING_EMAIL', 'HUBSPOT_GET_WORKFLOWS', 'HUBSPOT_GET_WORKFLOW_BY_ID', 'HUBSPOT_LIST_GRANTED_SCOPES', 'HUBSPOT_SEARCH_EMAILS']",1,False,False,0.0,0.0,HUBSPOT_CREATE_OBJECT_SCHEMA,create a custom-object registration ledger schema,ZENDESK_CREATE_CUSTOM_OBJECT_RECORD; ZENDESK_LIST_ZENDESK_CUSTOM_OBJECT_FIELDS; ZENDESK_SHOW_CUSTOM_OBJECT; ZENDESK_UPSERT_CUSTOM_OBJECT_RECORD_BY_EXTERNAL_ID_OR_NAME,ZENDESK_CREATE_CUSTOM_OBJECT_RECORD,ZENDESK_SHOW_CUSTOM_OBJECT; ZENDESK_LIST_ZENDESK_CUSTOM_OBJECT_FIELDS; ZENDESK_UPSERT_CUSTOM_OBJECT_RECORD_BY_EXTERNAL_ID_OR_NAME,zendesk,2.73,2.73,,False,C:\Users\miral\OneDrive\Documents\Evsys\src\query_level_workflow_evaluation\raw_search_results\workflow-001-q4.json,0.0,,False
workflow-002-q1,2,"Retrieve upcoming Google Calendar meeting events and create or update Notion content containing a large structured dataset, with verification after writing.",get upcoming Google Calendar meeting events,Retrieve scheduled calendar events from Google Calendar to use as source data.,"[{'acceptable_tool_slugs': ['GOOGLECALENDAR_EVENTS_LIST_ALL_CALENDARS'], 'purpose': 'Retrieve upcoming calendar events across all calendars'}]","['GOOGLECALENDAR_EVENTS_LIST_ALL_CALENDARS', 'NOTION_ADD_MULTIPLE_PAGE_CONTENT', 'NOTION_CREATE_NOTION_PAGE', 'NOTION_GET_PAGE_MARKDOWN', 'NOTION_REPLACE_PAGE_CONTENT', 'NOTION_RETRIEVE_PAGE']",1,True,True,1.0,1.0,,,GOOGLECALENDAR_EVENTS_GET; GOOGLECALENDAR_EVENTS_INSTANCES; GOOGLECALENDAR_EVENTS_LIST; GOOGLECALENDAR_FIND_EVENT; GOOGLECALENDAR_GET_CURRENT_DATE_TIME; GOOGLECALENDAR_LIST_CALENDARS; GOOGLECALENDAR_SETTINGS_LIST,GOOGLECALENDAR_GET_CURRENT_DATE_TIME; GOOGLECALENDAR_EVENTS_LIST_ALL_CALENDARS,GOOGLECALENDAR_SETTINGS_LIST; GOOGLECALENDAR_EVENTS_LIST; GOOGLECALENDAR_EVENTS_INSTANCES; GOOGLECALENDAR_EVENTS_GET; GOOGLECALENDAR_LIST_CALENDARS; GOOGLECALENDAR_FIND_EVENT,googlecalendar,2.42,2.42,,False,C:\Users\miral\OneDrive\Documents\Evsys\src\query_level_workflow_evaluation\raw_search_results\workflow-002-q1.json,1.0,,False
workflow-002-q2,2,"Retrieve upcoming Google Calendar meeting events and create or update Notion content containing a large structured dataset, with verification after writing.",create or update structured dataset content in Notion,Write and structure large datasets into Notion pages or databases.,"[{'acceptable_tool_slugs': ['NOTION_CREATE_NOTION_PAGE'], 'purpose': 'Create a new page in Notion for the structured dataset'}, {'acceptable_tool_slugs': ['NOTION_ADD_MULTIPLE_PAGE_CONTENT', 'NOTION_REPLACE_PAGE_CONTENT'], 'purpose': 'Add or update the structured content blocks in Notion'}]","['GOOGLECALENDAR_EVENTS_LIST_ALL_CALENDARS', 'NOTION_ADD_MULTIPLE_PAGE_CONTENT', 'NOTION_CREATE_NOTION_PAGE', 'NOTION_GET_PAGE_MARKDOWN', 'NOTION_REPLACE_PAGE_CONTENT', 'NOTION_RETRIEVE_PAGE']",2,False,True,0.0,0.5,NOTION_CREATE_NOTION_PAGE,Create a new page in Notion for the structured dataset,NOTION_FETCH_DATABASE; NOTION_FETCH_ROW; NOTION_QUERY_DATABASE; NOTION_QUERY_DATABASE_WITH_FILTER; NOTION_SEARCH_NOTION_PAGE; NOTION_UPDATE_PAGE; NOTION_UPDATE_ROW_DATABASE; NOTION_UPSERT_ROW_DATABASE,NOTION_FETCH_DATABASE; NOTION_QUERY_DATABASE_WITH_FILTER; NOTION_UPSERT_ROW_DATABASE,NOTION_UPDATE_ROW_DATABASE; NOTION_FETCH_ROW; NOTION_SEARCH_NOTION_PAGE; NOTION_QUERY_DATABASE; NOTION_UPDATE_PAGE; NOTION_ADD_MULTIPLE_PAGE_CONTENT,notion,2.29,2.29,,False,C:\Users\miral\OneDrive\Documents\Evsys\src\query_level_workflow_evaluation\raw_search_results\workflow-002-q2.json,0.5,,False
workflow-002-q3,2,"Retrieve upcoming Google Calendar meeting events and create or update Notion content containing a large structured dataset, with verification after writing.",verify Notion content after writing,Read back the newly created or updated Notion content to confirm accuracy and successful writing.,"[{'acceptable_tool_slugs': ['NOTION_GET_PAGE_MARKDOWN'], 'purpose': 'Read back Notion page content to verify writing'}]","['GOOGLECALENDAR_EVENTS_LIST_ALL_CALENDARS', 'NOTION_ADD_MULTIPLE_PAGE_CONTENT', 'NOTION_CREATE_NOTION_PAGE', 'NOTION_GET_PAGE_MARKDOWN', 'NOTION_REPLACE_PAGE_CONTENT', 'NOTION_RETRIEVE_PAGE']",1,True,True,1.0,1.0,,,NOTION_FETCH_BLOCK_CONTENTS; NOTION_FETCH_BLOCK_METADATA; NOTION_FETCH_DATA; NOTION_FETCH_DATABASE; NOTION_QUERY_DATABASE; NOTION_RETRIEVE_PAGE; NOTION_SEARCH_NOTION_PAGE,NOTION_SEARCH_NOTION_PAGE; NOTION_GET_PAGE_MARKDOWN,NOTION_RETRIEVE_PAGE; NOTION_FETCH_DATA; NOTION_FETCH_BLOCK_CONTENTS; NOTION_FETCH_BLOCK_METADATA; NOTION_FETCH_DATABASE; NOTION_QUERY_DATABASE,notion,2.56,2.56,,False,C:\Users\miral\OneDrive\Documents\Evsys\src\query_level_workflow_evaluation\raw_search_results\workflow-002-q3.json,1.0,,False
workflow-003-q1,3,"Find a spreadsheet in OneDrive, download it, programmatically add comparison summary worksheets/sections, upload the modified workbook back to the same OneDrive item, and verify the cloud copy.",download file from OneDrive,Search for a capability to locate and download an existing spreadsheet item from Microsoft OneDrive.,"[{'acceptable_tool_slugs': ['ONE_DRIVE_DOWNLOAD_FILE'], 'purpose': 'download a file from OneDrive'}]","['ONE_DRIVE_DOWNLOAD_FILE', 'ONE_DRIVE_GET_ITEM', 'ONE_DRIVE_SEARCH_ITEMS', 'ONE_DRIVE_UPDATE_FILE_CONTENT']",1,True,True,1.0,1.0,,,ONE_DRIVE_DOWNLOAD_FILE_BY_PATH; ONE_DRIVE_GET_DRIVE_ITEM_BY_SHARING_URL; ONE_DRIVE_GET_ITEM; SHARE_POINT_DOWNLOAD_FILE_BY_SERVER_RELATIVE_URL; SHARE_POINT_GET_SITE_DRIVE_ITEM_BY_PATH; SHARE_POINT_SEARCH_QUERY,ONE_DRIVE_GET_DRIVE_ITEM_BY_SHARING_URL; ONE_DRIVE_DOWNLOAD_FILE,ONE_DRIVE_GET_ITEM; SHARE_POINT_DOWNLOAD_FILE_BY_SERVER_RELATIVE_URL; SHARE_POINT_GET_SITE_DRIVE_ITEM_BY_PATH; SHARE_POINT_SEARCH_QUERY; ONE_DRIVE_DOWNLOAD_FILE_BY_PATH,one_drive; share_point,2.0,2.0,,False,C:\Users\miral\OneDrive\Documents\Evsys\src\query_level_workflow_evaluation\raw_search_results\workflow-003-q1.json,1.0,,False
workflow-003-q2,3,"Find a spreadsheet in OneDrive, download it, programmatically add comparison summary worksheets/sections, upload the modified workbook back to the same OneDrive item, and verify the cloud copy.",upload file to OneDrive,Search for a capability to upload a modified workbook back to the same OneDrive item and verify the cloud copy.,"[{'acceptable_tool_slugs': ['ONE_DRIVE_UPDATE_FILE_CONTENT'], 'purpose': 'upload modified file content back to OneDrive'}]","['ONE_DRIVE_DOWNLOAD_FILE', 'ONE_DRIVE_GET_ITEM', 'ONE_DRIVE_SEARCH_ITEMS', 'ONE_DRIVE_UPDATE_FILE_CONTENT']",1,False,False,0.0,0.0,ONE_DRIVE_UPDATE_FILE_CONTENT,upload modified file content back to OneDrive,GOOGLEDRIVE_CREATE_PERMISSION; GOOGLEDRIVE_FIND_FILE; GOOGLEDRIVE_GET_FILE_METADATA; GOOGLEDRIVE_RESUMABLE_UPLOAD; GOOGLEDRIVE_UPLOAD_FILE; ONE_DRIVE_ONEDRIVE_CREATE_FOLDER; ONE_DRIVE_ONEDRIVE_UPLOAD_FILE,GOOGLEDRIVE_UPLOAD_FILE; ONE_DRIVE_ONEDRIVE_UPLOAD_FILE,GOOGLEDRIVE_RESUMABLE_UPLOAD; GOOGLEDRIVE_FIND_FILE; GOOGLEDRIVE_GET_FILE_METADATA; GOOGLEDRIVE_CREATE_PERMISSION; ONE_DRIVE_ONEDRIVE_CREATE_FOLDER,googledrive; one_drive,2.18,2.18,,False,C:\Users\miral\OneDrive\Documents\Evsys\src\query_level_workflow_evaluation\raw_search_results\workflow-003-q2.json,0.0,,False
workflow-004-q1,4,"Publish approved carousel content from a Trello workflow to LinkedIn, add a first comment, update Trello status/logs, and adjust the Trello board workflow structure.",get approved cards from Trello workflow,Retrieve all content cards marked as approved from the designated Trello board and list.,"[{'acceptable_tool_slugs': ['TRELLO_GET_LISTS_CARDS_BY_ID_LIST'], 'purpose': 'retrieve cards from a specific Trello list'}]","['LINKEDIN_CREATE_COMMENT_ON_POST', 'LINKEDIN_CREATE_LINKED_IN_POST', 'LINKEDIN_DELETE_POST', 'LINKEDIN_GET_MY_INFO', 'LINKEDIN_GET_POST_CONTENT', 'TRELLO_ADD_CARDS_ACTIONS_COMMENTS_BY_ID_CARD', 'TRELLO_ADD_LISTS', 'TRELLO_GET_BOARDS_LISTS_BY_ID_BOARD', 'TRELLO_GET_LISTS_CARDS_BY_ID_LIST', 'TRELLO_UPDATE_CARDS_ID_LIST_BY_ID_CARD']",1,False,False,0.0,0.0,TRELLO_GET_LISTS_CARDS_BY_ID_LIST,retrieve cards from a specific Trello list,TRELLO_GET_BOARDS_CARDS_BY_ID_BOARD; TRELLO_GET_BOARDS_CARDS_BY_ID_BOARD_BY_FILTER; TRELLO_GET_CARDS_BY_ID_CARD; TRELLO_GET_MEMBERS_BOARDS_BY_ID_MEMBER,TRELLO_GET_BOARDS_CARDS_BY_ID_BOARD_BY_FILTER,TRELLO_GET_BOARDS_CARDS_BY_ID_BOARD; TRELLO_GET_MEMBERS_BOARDS_BY_ID_MEMBER; TRELLO_GET_CARDS_BY_ID_CARD,trello,2.55,2.55,,False,C:\Users\miral\OneDrive\Documents\Evsys\src\query_level_workflow_evaluation\raw_search_results\workflow-004-q1.json,0.0,,False
